,lipid,fc,p,Sex1,Sex2
86,TAG(48:3_FA16:1)+NH4,0.958962199744149,0.5447715757688203,M,F
87,TAG(48:3_FA18:1)+NH4,1.0068883007332619,0.9455899185432712,M,F
88,TAG(48:3_FA18:2)+NH4,1.0090477326864753,0.9189293206338451,M,F
89,TAG(48:4_FA18:2)+NH4,1.0813946654073296,0.2943615927677432,M,F
90,TAG(48:4_FA18:3)+NH4,1.0373138526251287,0.5210620258335703,M,F
91,TAG(48:5_FA18:3)+NH4,1.0201391277586311,0.7733597374113703,M,F
92,TAG(49:1_FA17:0)+NH4,1.0274094459479008,0.6764440371286321,M,F
93,TAG(49:2_FA16:1)+NH4,0.9630173870300027,0.5827713601877308,M,F
94,TAG(49:2_FA18:2)+NH4,0.962543481241434,0.5145614586271159,M,F
95,TAG(49:3_FA16:1)+NH4,1.004876925517915,0.9283806567924522,M,F
96,TAG(50:0_FA16:0)+NH4,0.9899944597029295,0.865276023059897,M,F
97,TAG(50:1_FA16:0)+NH4,1.0760968339667474,0.1831375312513622,M,F
98,TAG(50:1_FA18:1)+NH4,1.127109348695503,0.26421671436697464,M,F
99,TAG(50:2_FA14:0)+NH4,1.0597582248301884,0.33093026494995437,M,F
100,TAG(50:2_FA16:0)+NH4,0.9849967983106038,0.8172553589384708,M,F
101,TAG(50:2_FA16:1)+NH4,1.0216137249090307,0.7278102885550986,M,F
102,TAG(50:2_FA18:1)+NH4,1.0112397657095757,0.8889854294538168,M,F
103,TAG(50:2_FA18:2)+NH4,1.0813282937662947,0.20937518580276812,M,F
104,TAG(50:3_FA16:1)+NH4,1.06574631728045,0.4158942091095338,M,F
105,TAG(50:3_FA18:1)+NH4,0.9513467483929353,0.3142927858587492,M,F
106,TAG(50:3_FA18:2)+NH4,0.9984946987940737,0.9822979223355679,M,F
107,TAG(50:3_FA18:3)+NH4,0.9604968781077173,0.5642361824266028,M,F
108,TAG(50:4_FA16:1)+NH4,0.9792754621817115,0.805867933106432,M,F
109,TAG(50:4_FA18:2)+NH4,1.001854553371612,0.97872598080956,M,F
110,TAG(50:5_FA14:0)+NH4,1.0321910816463236,0.7475745854691275,M,F
111,TAG(50:5_FA18:3)+NH4,1.1003427041291658,0.18880083293352748,M,F
112,TAG(51:0_FA17:0)+NH4,1.0395953825468356,0.5346504054727761,M,F
113,TAG(51:2_FA16:1)+NH4,0.922126582265808,0.2414263290952688,M,F
114,TAG(51:3_FA18:2)+NH4,1.1087446667471494,0.2562864469267592,M,F
115,TAG(51:4_FA18:2)+NH4,1.0020463473781223,0.9762901759131171,M,F
116,TAG(51:4_FA18:3)+NH4,0.8893065955028099,0.05762338102480834,M,F
117,TAG(52:0_FA20:0)+NH4,1.086168048987797,0.252571645199418,M,F
118,TAG(52:1_FA16:0)+NH4,0.9993265679792078,0.9934461178431626,M,F
119,TAG(52:1_FA18:1)+NH4,1.0441522320059622,0.6624514272442881,M,F
120,TAG(52:1_FA20:0)+NH4,0.9976123441607447,0.9761105655702658,M,F
121,TAG(52:2_FA16:0)+NH4,1.2491014646057461,0.14101481690256099,M,F
122,TAG(52:2_FA18:1)+NH4,1.0508302044272972,0.5839372096684787,M,F
123,TAG(52:2_FA18:2)+NH4,0.997076489415232,0.9588475409393629,M,F
124,TAG(52:3_FA16:0)+NH4,1.0196327689994709,0.7848011592208457,M,F
125,TAG(52:3_FA16:1)+NH4,1.1784103357955236,0.178325209483636,M,F
126,TAG(52:3_FA18:1)+NH4,0.986936637384145,0.8500128056848384,M,F
127,TAG(52:3_FA18:2)+NH4,0.9234110897755649,0.3026302529412287,M,F
128,TAG(52:4_FA14:0)+NH4,1.0145183314643809,0.7989998985589554,M,F
129,TAG(52:4_FA16:0)+NH4,0.9700751524197692,0.7259110562743223,M,F
130,TAG(52:4_FA16:1)+NH4,0.9866043475661981,0.8748200890704059,M,F
131,TAG(52:4_FA18:1)+NH4,1.0034410169175358,0.9656822981296144,M,F
132,TAG(52:4_FA18:2)+NH4,1.008614408363424,0.9207573206971331,M,F
133,TAG(52:4_FA18:3)+NH4,1.035212556144917,0.7618038980214794,M,F
134,TAG(52:4_FA20:3)+NH4,0.8822577513605824,0.31435840624132166,M,F
135,TAG(52:4_FA20:4)+NH4,1.019491315785046,0.7181309995732388,M,F
136,TAG(52:5_FA14:0)+NH4,1.000920214897619,0.9894877707674391,M,F
137,TAG(52:5_FA16:0)+NH4,0.9956349165533878,0.9565723930746652,M,F
138,TAG(52:5_FA16:1)+NH4,1.0014553733844715,0.987797743814216,M,F
139,TAG(52:5_FA18:2)+NH4,0.9734848820467301,0.7566125937142631,M,F
140,TAG(52:5_FA18:3)+NH4,1.048744561831393,0.5841855311072208,M,F
141,TAG(52:5_FA20:4)+NH4,1.0398472208142004,0.5331326434924772,M,F
142,TAG(52:6_FA14:0)+NH4,1.0464791598371141,0.4719316552053422,M,F
143,TAG(52:6_FA16:0)+NH4,1.0038586036011545,0.9548069806518552,M,F
144,TAG(52:6_FA18:2)+NH4,1.0202628558696685,0.7923672632829968,M,F
145,TAG(52:6_FA18:3)+NH4,0.9824550473517284,0.8676564284174195,M,F
146,TAG(52:6_FA20:4)+NH4,1.11748850251895,0.23493765857638227,M,F
147,TAG(52:6_FA22:6)+NH4,1.1118889674716672,0.0692524848722299,M,F
148,TAG(52:7_FA22:6)+NH4,1.0726938974597837,0.28321308208923496,M,F
149,TAG(53:0_FA16:0)+NH4,1.1066641758371023,0.09301247783386354,M,F
150,TAG(53:1_FA16:0)+NH4,0.9436445722483623,0.5163824067238463,M,F
151,TAG(53:2_FA16:0)+NH4,0.9431105315797732,0.6460578838728583,M,F
152,TAG(53:2_FA17:0)+NH4,1.1314279957586526,0.5560458188712603,M,F
153,TAG(53:4_FA18:2)+NH4,1.0174335612108454,0.8641371538157945,M,F
154,TAG(54:1_FA20:0)+NH4,1.1509014646054718,0.06705634956192508,M,F
155,TAG(54:2_FA18:0)+NH4,1.0208098962789245,0.8105155666169422,M,F
156,TAG(54:2_FA18:1)+NH4,1.1483282976540632,0.1533299584604825,M,F
157,TAG(54:2_FA20:0)+NH4,0.9857680980730911,0.8345350870190913,M,F
158,TAG(54:2_FA20:1)+NH4,1.185796351825268,0.06312204344409705,M,F
159,TAG(54:3_FA18:0)+NH4,0.9425781788478066,0.5709288243543291,M,F
160,TAG(54:4_FA18:0)+NH4,1.1718299129134755,0.14249285925786942,M,F
161,TAG(54:4_FA18:1)+NH4,1.0225839490989592,0.7673056843672966,M,F
162,TAG(54:4_FA18:2)+NH4,1.0436938780068064,0.6359184126505362,M,F
163,TAG(54:4_FA20:3)+NH4,0.9704685136720519,0.7454947867795225,M,F
164,TAG(54:4_FA20:4)+NH4,1.0200380821560455,0.7586101707611655,M,F
165,TAG(54:5_FA16:0)+NH4,1.2080224507689639,0.20852669229360335,M,F
166,TAG(54:5_FA18:1)+NH4,0.9908137975990409,0.9021027841461684,M,F
167,TAG(54:5_FA18:2)+NH4,1.0348292080432249,0.7055360657307036,M,F
168,TAG(54:5_FA20:4)+NH4,1.0884873931756645,0.18152312435308024,M,F
169,TAG(54:5_FA22:5)+NH4,1.0818656850281811,0.39580236874487473,M,F
170,TAG(54:6_FA16:0)+NH4,1.0760063439103165,0.18712299829125578,M,F
171,TAG(54:6_FA16:1)+NH4,1.1147589874548942,0.2927089488217592,M,F
172,TAG(54:6_FA18:1)+NH4,1.0293622282274288,0.7209964296179366,M,F
173,TAG(54:6_FA18:2)+NH4,1.0490602601807926,0.5923068695047289,M,F
